Mach,alpha_deg,Reynolds,CA
0.7,10.0,500000.0,0.501
0.9,10.0,500000.0,0.573
1.2,10.0,500000.0,0.967
2.0,10.0,500000.0,0.795
3.0,10.0,500000.0,0.702
4.0,10.0,500000.0,0.631
5.0,10.0,500000.0,0.577
0.29,12.0,500000.0,0.516
0.3,12.0,500000.0,0.516
0.5,12.0,500000.0,0.512
0.7,12.0,500000.0,0.501
0.9,12.0,500000.0,0.571
1.2,12.0,500000.0,0.95
2.0,12.0,500000.0,0.787
3.0,12.0,500000.0,0.699
4.0,12.0,500000.0,0.631
5.0,12.0,500000.0,0.579
0.29,14.0,500000.0,0.517
0.3,14.0,500000.0,0.517
0.5,14.0,500000.0,0.514
0.7,14.0,500000.0,0.503
0.9,14.0,500000.0,0.571
1.2,14.0,500000.0,0.93
2.0,14.0,500000.0,0.777
3.0,14.0,500000.0,0.696
4.0,14.0,500000.0,0.63
5.0,14.0,500000.0,0.58
0.29,16.0,500000.0,0.511
0.3,16.0,500000.0,0.511
0.5,16.0,500000.0,0.508
0.7,16.0,500000.0,0.498
0.9,16.0,500000.0,0.564
1.2,16.0,500000.0,0.907
2.0,16.0,500000.0,0.766
3.0,16.0,500000.0,0.692
4.0,16.0,500000.0,0.63
5.0,16.0,500000.0,0.582
0.29,18.0,500000.0,0.494
0.3,18.0,500000.0,0.494
0.5,18.0,500000.0,0.49
0.7,18.0,500000.0,0.48
0.9,18.0,500000.0,0.548
1.2,18.0,500000.0,0.882
2.0,18.0,500000.0,0.754
3.0,18.0,500000.0,0.687
4.0,18.0,500000.0,0.629
5.0,18.0,500000.0,0.584
0.29,20.0,500000.0,0.467
0.3,20.0,500000.0,0.467
0.5,20.0,500000.0,0.462
0.7,20.0,500000.0,0.451
0.9,20.0,500000.0,0.519
1.2,20.0,500000.0,0.855
2.0,20.0,500000.0,0.741
3.0,20.0,500000.0,0.682
4.0,20.0,500000.0,0.629
5.0,20.0,500000.0,0.585
0.29,0.0,1000000.0,0.475
0.3,0.0,1000000.0,0.475
0.5,0.0,1000000.0,0.473
0.7,0.0,1000000.0,0.47
0.9,0.0,1000000.0,0.546
1.2,0.0,1000000.0,0.965
2.0,0.0,1000000.0,0.775
3.0,0.0,1000000.0,0.671
4.0,0.0,1000000.0,0.596
5.0,0.0,1000000.0,0.54
0.29,2.0,1000000.0,0.474
0.3,2.0,1000000.0,0.474
0.5,2.0,1000000.0,0.472
0.7,2.0,1000000.0,0.469
0.9,2.0,1000000.0,0.545
1.2,2.0,1000000.0,0.963
2.0,2.0,1000000.0,0.774
3.0,2.0,1000000.0,0.671
4.0,2.0,1000000.0,0.596
5.0,2.0,1000000.0,0.54
0.29,4.0,1000000.0,0.472
0.3,4.0,1000000.0,0.472
0.5,4.0,1000000.0,0.47
0.7,4.0,1000000.0,0.467
