Mach,alpha_deg,def_roll,Cll
4.0,8.0,10.0,-0.11627
4.0,12.0,10.0,-0.09978
4.0,16.0,10.0,-0.12745
4.0,20.0,10.0,-0.13756
5.0,0.0,10.0,-0.03645
5.0,2.0,10.0,-0.04704
5.0,4.0,10.0,-0.06881
5.0,8.0,10.0,-0.09711
5.0,12.0,10.0,-0.00972
5.0,16.0,10.0,-0.12481
5.0,20.0,10.0,-0.13756
0.3,0.0,15.0,-0.16077
0.3,2.0,15.0,-0.14588
0.3,4.0,15.0,-0.14983
0.3,8.0,15.0,-0.12618
0.3,12.0,15.0,-0.17999
0.3,16.0,15.0,-0.18969
0.3,20.0,15.0,-0.0362
0.5,0.0,15.0,-0.1607
0.5,2.0,15.0,-0.14602
0.5,4.0,15.0,-0.14545
0.5,8.0,15.0,-0.11865
0.5,12.0,15.0,-0.18053
0.5,16.0,15.0,-0.19203
0.5,20.0,15.0,-0.03248
0.8,0.0,15.0,-0.16017
0.8,2.0,15.0,-0.15248
0.8,4.0,15.0,-0.15258
0.8,8.0,15.0,-0.12459
0.8,12.0,15.0,-0.19992
0.8,16.0,15.0,-0.2164
0.8,20.0,15.0,-0.04013
1.21,0.0,15.0,-0.18808
1.21,2.0,15.0,-0.18202
1.21,4.0,15.0,-0.19994
1.21,8.0,15.0,-0.19169
1.21,12.0,15.0,-0.26149
1.21,16.0,15.0,-0.31188
1.21,20.0,15.0,-0.07836
2.0,0.0,15.0,-0.1238
2.0,2.0,15.0,-0.12169
2.0,4.0,15.0,-0.13025
2.0,8.0,15.0,-0.17617
2.0,12.0,15.0,-0.28204
2.0,16.0,15.0,-0.149
2.0,20.0,15.0,-0.05586
3.0,0.0,15.0,-0.07443
3.0,2.0,15.0,-0.08523
3.0,4.0,15.0,-0.11021
3.0,8.0,15.0,-0.19724
3.0,12.0,15.0,-0.16767
3.0,16.0,15.0,-0.15688
3.0,20.0,15.0,-0.07351
4.0,0.0,15.0,-0.06319
4.0,2.0,15.0,-0.07868
4.0,4.0,15.0,-0.10928
4.0,8.0,15.0,-0.1719
4.0,12.0,15.0,-0.14781
4.0,16.0,15.0,-0.18951
4.0,20.0,15.0,-0.07011
5.0,0.0,15.0,-0.05814
5.0,2.0,15.0,-0.07459
5.0,4.0,15.0,-0.10499
5.0,8.0,15.0,-0.14491
5.0,12.0,15.0,-0.15665
5.0,16.0,15.0,-0.18705
5.0,20.0,15.0,-0.07044
