time_s,thrust_N,mass_flow_kg_s
1.05,46758.2,19.21927920818125
1.06,46781.8,19.228979645523
1.08,46806.2,19.23900891124922
1.09,46831.5,19.24940810890796
1.1,46857.6,19.260136134951168
1.12,46884.6,19.2712340929269
1.13,46912.3,19.282619775739043
1.15,46940.7,19.294293183387587
1.16,46969.9,19.306295419420604
1.17,46999.9,19.318626483838084
1.19,47030.5,19.331204169543913
1.2,47061.7,19.344028476538092
1.21,47093.7,19.35718161191674
1.23,47126.2,19.370540265035675
1.24,47159.4,19.384186642991022
1.26,47193.2,19.398079642234716
1.27,47227.6,19.41221926276676
1.28,47262.5,19.426564401039098
1.3,47298.1,19.44119726414784
1.31,47334.2,19.456035644996874
1.32,47370.9,19.47112064713426
1.34,47408.3,19.486493374108054
1.35,47446.3,19.502112722370196
1.37,47484.9,19.517978691920685
1.38,47524.1,19.534091282759526
1.39,47563.7,19.5503682877906
1.41,47603.7,19.566809707013906
1.42,47644.0,19.583374436881392
1.43,47684.5,19.60002137384499
1.45,47725.2,19.616750517904702
1.46,47766.2,19.633602972608593
1.48,47807.5,19.65057873795666
1.49,47849.0,19.667636710400842
1.5,47890.6,19.68473578639308
1.52,47932.1,19.701793758837262
1.53,47973.2,19.71868731708921
1.55,48013.4,19.735210943408635
1.56,48052.4,19.75124132715136
1.57,48089.5,19.766490743480976
1.59,48124.5,19.78087698530137
1.6,48157.2,19.794317845516424
1.62,48187.2,19.806648909933905
1.63,48214.5,19.81787017855381
1.64,48239.0,19.82794054782809
1.66,48260.8,19.83690112130479
1.67,48279.7,19.844669691887802
1.68,48295.9,19.851328466673245
1.7,48309.5,19.856918549209166
1.71,48320.7,19.861522146591692
1.73,48329.3,19.865057051724705
1.74,48347.7,19.872620104567424
1.75,48371.9,19.88256716319753
1.77,48393.5,19.891445529578114
1.78,48412.8,19.89937851435336
1.8,48429.8,19.906366117523266
1.81,48445.0,19.91261385682812
1.82,48458.6,19.918203939364044
1.84,48471.1,19.923341882871327
1.85,48482.9,19.928192101542205
1.87,48494.4,19.932919009568906
1.88,48505.8,19.93760481404755
1.89,48517.1,19.94224951497813
1.91,48528.5,19.946935319456774
1.92,48540.1,19.951703331031535
1.94,48552.0,19.956594653250466
1.95,48564.2,19.961609286113575
1.96,48576.6,19.9667061260728
1.98,48589.4,19.97196738022426
1.99,48602.4,19.977310841471837
2.01,48615.7,19.982777613363584
2.02,48629.2,19.98832659235145
2.03,48643.1,19.99403998553155
2.05,48657.3,19.999876689355826
